method,reward
Gaussian,8.0
Gaussian,6.0
Gaussian,8.0
Gaussian,20.0
Gaussian,17.0
Gaussian,20.0
Gaussian,17.0
Gaussian,20.0
Gaussian,17.0
Gaussian,17.0
Gaussian,8.0
Gaussian,17.0
Gaussian,8.0
Gaussian,19.0
Gaussian,20.0
Gaussian,8.0
Gaussian,17.0
Gaussian,20.0
Gaussian,19.0
Gaussian,20.0
Gaussian,8.0
Gaussian,19.0
Gaussian,20.0
Gaussian,20.0
Gaussian,8.0
Gaussian,20.0
Gaussian,19.0
Gaussian,20.0
Gaussian,20.0
Gaussian,19.0
Gaussian,17.0
Gaussian,20.0
Gaussian,6.0
Gaussian,17.0
Gaussian,17.0
Gaussian,20.0
Gaussian,20.0
Gaussian,6.0
Gaussian,20.0
Gaussian,20.0
Gaussian,8.0
Gaussian,20.0
Gaussian,19.0
Gaussian,8.0
Gaussian,19.0
Gaussian,20.0
Gaussian,19.0
Gaussian,20.0
Gaussian,17.0
Gaussian,8.0
Gaussian,19.0
Gaussian,8.0
Gaussian,17.0
Gaussian,17.0
Gaussian,19.0
Gaussian,8.0
Gaussian,17.0
Gaussian,17.0
Gaussian,8.0
Gaussian,8.0
Gaussian,17.0
Gaussian,17.0
Gaussian,17.0
Gaussian,19.0
Gaussian,17.0
Gaussian,20.0
Gaussian,8.0
Gaussian,19.0
Gaussian,19.0
Gaussian,19.0
Gaussian,20.0
Gaussian,20.0
Gaussian,6.0
Gaussian,19.0
Gaussian,8.0
Gaussian,20.0
Gaussian,17.0
Gaussian,17.0
Gaussian,8.0
Gaussian,6.0
Gaussian,8.0
Gaussian,20.0
Gaussian,17.0
Gaussian,8.0
Gaussian,20.0
Gaussian,19.0
Gaussian,19.0
Gaussian,17.0
Gaussian,19.0
Gaussian,19.0
Gaussian,8.0
Gaussian,8.0
Gaussian,17.0
Gaussian,6.0
Gaussian,6.0
Gaussian,19.0
Gaussian,8.0
Gaussian,20.0
Gaussian,8.0
Gaussian,19.0
Gaussian,8.0
Gaussian,8.0
Gaussian,8.0
Gaussian,17.0
Gaussian,19.0
Gaussian,8.0
Gaussian,19.0
Gaussian,6.0
Gaussian,19.0
Gaussian,19.0
Gaussian,19.0
Gaussian,17.0
Gaussian,20.0
Gaussian,19.0
Gaussian,6.0
Gaussian,17.0
Gaussian,20.0
Gaussian,8.0
Gaussian,20.0
Gaussian,6.0
Gaussian,20.0
Gaussian,8.0
Gaussian,17.0
Gaussian,8.0
Gaussian,6.0
Gaussian,17.0
Gaussian,19.0
Gaussian,20.0
Gaussian,8.0
Gaussian,17.0
Gaussian,20.0
Gaussian,20.0
Gaussian,20.0
Gaussian,8.0
Gaussian,6.0
Gaussian,17.0
Gaussian,8.0
Gaussian,17.0
Gaussian,19.0
Gaussian,19.0
Gaussian,19.0
Gaussian,17.0
Gaussian,17.0
Gaussian,17.0
Gaussian,20.0
Gaussian,20.0
Gaussian,20.0
Gaussian,19.0
Gaussian,17.0
Gaussian,19.0
Gaussian,20.0
Gaussian,19.0
Gaussian,19.0
Gaussian,8.0
Gaussian,19.0
Gaussian,6.0
Gaussian,19.0
Gaussian,8.0
Gaussian,17.0
Gaussian,19.0
Gaussian,17.0
Gaussian,20.0
Gaussian,19.0
Gaussian,20.0
Gaussian,8.0
Gaussian,6.0
Gaussian,17.0
Gaussian,17.0
Gaussian,19.0
Gaussian,20.0
Gaussian,20.0
Gaussian,20.0
Gaussian,19.0
Gaussian,20.0
Gaussian,19.0
Gaussian,19.0
Gaussian,8.0
Gaussian,19.0
Gaussian,17.0
Gaussian,20.0
Gaussian,17.0
Gaussian,8.0
Gaussian,8.0
Gaussian,19.0
Gaussian,20.0
Gaussian,20.0
Gaussian,17.0
Gaussian,8.0
Gaussian,20.0
Gaussian,20.0
Gaussian,19.0
Gaussian,20.0
Gaussian,17.0
Gaussian,17.0
Gaussian,8.0
Gaussian,17.0
Gaussian,19.0
Gaussian,19.0
Gaussian,20.0
Gaussian,17.0
Gaussian,17.0
Gaussian,19.0
Gaussian,6.0
Gaussian,17.0
Gaussian,20.0
Gaussian,20.0
Gaussian,19.0
Gaussian,20.0
Gaussian,8.0
Gaussian,17.0
Gaussian,20.0
Gaussian,19.0
Gaussian,17.0
Gaussian,20.0
Gaussian,8.0
Gaussian,17.0
Gaussian,19.0
Gaussian,17.0
Gaussian,17.0
Gaussian,19.0
Gaussian,6.0
Gaussian,19.0
Gaussian,8.0
Gaussian,6.0
Gaussian,8.0
Gaussian,17.0
Gaussian,19.0
Gaussian,19.0
Gaussian,19.0
Gaussian,19.0
Gaussian,17.0
Gaussian,19.0
Gaussian,20.0
Gaussian,6.0
Gaussian,20.0
Gaussian,19.0
Gaussian,19.0
Gaussian,6.0
Gaussian,6.0
Gaussian,17.0
Gaussian,19.0
Gaussian,19.0
Gaussian,20.0
Gaussian,20.0
Gaussian,19.0
Gaussian,6.0
Gaussian,6.0
Gaussian,19.0
Gaussian,19.0
Gaussian,20.0
Gaussian,17.0
Gaussian,19.0
Gaussian,8.0
Gaussian,19.0
Gaussian,8.0
Gaussian,20.0
Gaussian,20.0
Gaussian,20.0
Gaussian,19.0
Gaussian,20.0
Gaussian,19.0
Gaussian,19.0
Gaussian,19.0
Gaussian,8.0
Gaussian,19.0
Gaussian,20.0
Gaussian,17.0
Gaussian,19.0
Gaussian,20.0
Gaussian,8.0
Gaussian,17.0
Gaussian,19.0
Gaussian,19.0
Gaussian,6.0
Gaussian,19.0
Gaussian,19.0
Gaussian,6.0
Gaussian,6.0
Gaussian,8.0
Gaussian,8.0
Gaussian,17.0
Gaussian,20.0
Gaussian,20.0
Gaussian,8.0
Gaussian,20.0
Gaussian,20.0
Gaussian,20.0
Gaussian,19.0
Gaussian,20.0
Gaussian,19.0
Gaussian,19.0
Gaussian,17.0
Gaussian,19.0
Gaussian,8.0
Gaussian,19.0
Gaussian,20.0
Gaussian,20.0
Gaussian,6.0
Gaussian,17.0
Gaussian,8.0
Gaussian,17.0
Gaussian,20.0
Gaussian,17.0
Gaussian,19.0
Gaussian,20.0
Gaussian,19.0
Gaussian,19.0
Gaussian,20.0
Gaussian,19.0
Gaussian,19.0
Gaussian,19.0
Gaussian,19.0
Gaussian,19.0
Gaussian,8.0
Gaussian,19.0
Gaussian,19.0
Gaussian,20.0
Gaussian,19.0
Gaussian,19.0
Gaussian,17.0
Gaussian,20.0
Gaussian,17.0
Gaussian,20.0
Gaussian,19.0
Gaussian,17.0
Gaussian,17.0
Gaussian,19.0
Gaussian,17.0
Gaussian,6.0
Gaussian,20.0
Gaussian,20.0
Gaussian,8.0
Gaussian,8.0
Gaussian,19.0
Gaussian,19.0
Gaussian,20.0
Gaussian,6.0
Gaussian,19.0
Gaussian,8.0
Gaussian,19.0
Gaussian,6.0
Gaussian,8.0
Gaussian,19.0
Gaussian,8.0
Gaussian,19.0
Gaussian,19.0
Gaussian,20.0
Gaussian,8.0
Gaussian,20.0
Gaussian,19.0
Gaussian,20.0
Gaussian,17.0
Gaussian,6.0
Gaussian,20.0
Gaussian,20.0
Gaussian,20.0
Gaussian,19.0
Gaussian,20.0
Gaussian,17.0
Gaussian,17.0
Gaussian,17.0
Gaussian,8.0
Gaussian,20.0
Gaussian,20.0
Gaussian,19.0
Gaussian,8.0
Gaussian,19.0
Gaussian,19.0
Gaussian,6.0
Gaussian,17.0
Gaussian,17.0
Gaussian,8.0
Gaussian,19.0
Gaussian,19.0
Gaussian,20.0
Gaussian,6.0
Gaussian,20.0
Gaussian,20.0
Gaussian,19.0
Gaussian,8.0
Gaussian,17.0
Gaussian,19.0
Gaussian,6.0
Gaussian,6.0
Gaussian,20.0
Gaussian,19.0
Gaussian,6.0
Gaussian,19.0
Gaussian,8.0
Gaussian,8.0
Gaussian,17.0
Gaussian,19.0
Gaussian,20.0
Gaussian,20.0
Gaussian,19.0
Gaussian,17.0
Gaussian,20.0
Gaussian,8.0
Gaussian,17.0
Gaussian,19.0
Gaussian,6.0
Gaussian,17.0
Gaussian,20.0
Gaussian,17.0
Gaussian,8.0
Gaussian,17.0
Gaussian,20.0
Gaussian,8.0
Gaussian,17.0
Gaussian,19.0
Gaussian,6.0
Gaussian,19.0
Gaussian,8.0
Gaussian,6.0
Gaussian,8.0
Gaussian,19.0
Gaussian,20.0
Gaussian,19.0
Gaussian,19.0
Gaussian,6.0
Gaussian,20.0
Gaussian,20.0
Gaussian,20.0
Gaussian,17.0
Gaussian,17.0
Gaussian,19.0
Gaussian,19.0
Gaussian,19.0
Gaussian,19.0
Gaussian,19.0
Gaussian,17.0
Gaussian,17.0
Gaussian,17.0
Gaussian,19.0
Gaussian,20.0
Gaussian,6.0
Gaussian,19.0
Gaussian,20.0
Gaussian,17.0
Gaussian,17.0
Gaussian,8.0
Gaussian,20.0
Gaussian,20.0
Gaussian,20.0
Gaussian,20.0
Gaussian,8.0
Gaussian,17.0
Gaussian,17.0
Gaussian,19.0
Gaussian,20.0
Gaussian,19.0
Gaussian,17.0
Gaussian,17.0
Gaussian,20.0
Gaussian,19.0
Gaussian,20.0
Gaussian,8.0
Gaussian,20.0
Gaussian,17.0
Gaussian,8.0
Gaussian,20.0
Gaussian,20.0
Gaussian,8.0
Gaussian,6.0
Gaussian,17.0
Gaussian,19.0
Gaussian,19.0
Gaussian,19.0
Gaussian,19.0
Gaussian,19.0
Gaussian,8.0
Gaussian,6.0
Gaussian,8.0
Gaussian,19.0
Gaussian,20.0
Gaussian,20.0
Gaussian,8.0
Gaussian,20.0
Gaussian,20.0
Gaussian,6.0
Gaussian,19.0
Gaussian,17.0
Gaussian,20.0
Gaussian,20.0
Gaussian,8.0
Gaussian,19.0
Gaussian,20.0
Gaussian,20.0
Gaussian,17.0
Gaussian,17.0
Gaussian,20.0
Gaussian,20.0
Gaussian,17.0
Gaussian,19.0
Gaussian,17.0
Gaussian,19.0
Gaussian,19.0
Gaussian,19.0
Gaussian,17.0
Gaussian,19.0
Gaussian,20.0
Gaussian,17.0
Gaussian,17.0
Gaussian,17.0
Gaussian,8.0
Gaussian,8.0
Gaussian,17.0
Gaussian,8.0
Gaussian,20.0
Gaussian,6.0
Gaussian,19.0
Gaussian,6.0
Gaussian,17.0
Gaussian,19.0
Gaussian,8.0
Gaussian,17.0
Gaussian,17.0
Gaussian,20.0
Gaussian,6.0
Gaussian,17.0
Gaussian,8.0
Gaussian,20.0
Gaussian,17.0
Gaussian,17.0
Gaussian,19.0
Gaussian,19.0
Gaussian,8.0
Gaussian,8.0
Gaussian,6.0
Gaussian,19.0
Gaussian,17.0
Gaussian,19.0
Gaussian,19.0
Gaussian,6.0
Gaussian,20.0
Gaussian,20.0
Gaussian,8.0
Gaussian,6.0
Gaussian,8.0
Gaussian,20.0
Gaussian,20.0
Gaussian,8.0
Gaussian,19.0
Gaussian,8.0
Gaussian,20.0
Gaussian,19.0
Gaussian,17.0
Gaussian,8.0
Gaussian,19.0
Gaussian,19.0
Gaussian,8.0
Gaussian,19.0
Gaussian,19.0
Gaussian,20.0
Gaussian,19.0
Gaussian,17.0
Gaussian,19.0
Gaussian,20.0
Gaussian,17.0
Gaussian,19.0
Gaussian,17.0
Gaussian,17.0
Gaussian,20.0
Gaussian,8.0
Gaussian,8.0
Gaussian,17.0
Gaussian,19.0
Gaussian,19.0
Gaussian,8.0
Gaussian,8.0
Gaussian,20.0
Gaussian,20.0
Gaussian,8.0
Gaussian,20.0
Gaussian,8.0
Gaussian,8.0
Gaussian,17.0
Gaussian,20.0
Gaussian,19.0
Gaussian,17.0
Gaussian,17.0
Gaussian,6.0
Gaussian,6.0
Gaussian,20.0
Gaussian,19.0
Gaussian,20.0
Gaussian,19.0
Gaussian,8.0
Gaussian,20.0
Gaussian,17.0
Gaussian,8.0
Gaussian,20.0
Gaussian,17.0
Gaussian,17.0
Gaussian,8.0
Gaussian,17.0
Gaussian,6.0
Gaussian,17.0
Gaussian,17.0
Gaussian,8.0
Gaussian,19.0
Gaussian,8.0
Gaussian,17.0
Gaussian,8.0
Gaussian,20.0
Gaussian,19.0
Gaussian,20.0
Gaussian,8.0
Gaussian,19.0
Gaussian,17.0
Gaussian,8.0
Gaussian,20.0
Gaussian,19.0
Gaussian,17.0
Gaussian,19.0
Gaussian,17.0
Gaussian,17.0
Gaussian,20.0
Gaussian,19.0
Gaussian,17.0
Gaussian,19.0
Gaussian,8.0
Gaussian,19.0
Gaussian,20.0
Gaussian,17.0
Gaussian,19.0
Gaussian,17.0
Gaussian,20.0
Gaussian,17.0
Gaussian,17.0
Gaussian,17.0
Gaussian,17.0
Gaussian,20.0
Gaussian,8.0
Gaussian,8.0
Gaussian,19.0
Gaussian,6.0
Gaussian,20.0
Gaussian,19.0
Gaussian,20.0
Gaussian,6.0
Gaussian,20.0
Gaussian,8.0
Gaussian,19.0
Gaussian,20.0
Gaussian,19.0
Gaussian,17.0
Gaussian,6.0
Gaussian,20.0
Gaussian,8.0
Gaussian,19.0
Gaussian,8.0
Gaussian,20.0
Gaussian,8.0
Gaussian,17.0
Gaussian,20.0
Gaussian,19.0
Gaussian,19.0
Gaussian,19.0
Gaussian,8.0
Gaussian,20.0
Gaussian,20.0
Gaussian,17.0
Gaussian,8.0
Gaussian,17.0
Gaussian,20.0
Gaussian,19.0
Gaussian,20.0
Gaussian,20.0
Gaussian,6.0
Gaussian,19.0
Gaussian,20.0
Gaussian,20.0
Gaussian,17.0
Gaussian,19.0
Gaussian,19.0
Gaussian,8.0
Gaussian,17.0
Gaussian,19.0
Gaussian,8.0
Gaussian,20.0
