method,reward
Laplacian,17.0
Laplacian,18.0
Laplacian,18.0
Laplacian,17.0
Laplacian,17.0
Laplacian,18.0
Laplacian,19.0
Laplacian,19.0
Laplacian,19.0
Laplacian,19.0
Laplacian,17.0
Laplacian,13.0
Laplacian,13.0
Laplacian,19.0
Laplacian,17.0
Laplacian,18.0
Laplacian,17.0
Laplacian,13.0
Laplacian,13.0
Laplacian,17.0
Laplacian,18.0
Laplacian,17.0
Laplacian,13.0
Laplacian,18.0
Laplacian,19.0
Laplacian,13.0
Laplacian,13.0
Laplacian,18.0
Laplacian,13.0
Laplacian,19.0
Laplacian,17.0
Laplacian,13.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,17.0
Laplacian,18.0
Laplacian,17.0
Laplacian,18.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,19.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,19.0
Laplacian,18.0
Laplacian,13.0
Laplacian,19.0
Laplacian,17.0
Laplacian,18.0
Laplacian,17.0
Laplacian,17.0
Laplacian,19.0
Laplacian,19.0
Laplacian,17.0
Laplacian,17.0
Laplacian,13.0
Laplacian,19.0
Laplacian,19.0
Laplacian,17.0
Laplacian,18.0
Laplacian,17.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,18.0
Laplacian,19.0
Laplacian,19.0
Laplacian,18.0
Laplacian,19.0
Laplacian,19.0
Laplacian,19.0
Laplacian,19.0
Laplacian,17.0
Laplacian,17.0
Laplacian,17.0
Laplacian,13.0
Laplacian,18.0
Laplacian,18.0
Laplacian,13.0
Laplacian,18.0
Laplacian,13.0
Laplacian,18.0
Laplacian,18.0
Laplacian,13.0
Laplacian,19.0
Laplacian,17.0
Laplacian,18.0
Laplacian,19.0
Laplacian,13.0
Laplacian,13.0
Laplacian,18.0
Laplacian,18.0
Laplacian,17.0
Laplacian,19.0
Laplacian,18.0
Laplacian,19.0
Laplacian,18.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,13.0
Laplacian,19.0
Laplacian,19.0
Laplacian,13.0
Laplacian,18.0
Laplacian,18.0
Laplacian,13.0
Laplacian,18.0
Laplacian,19.0
Laplacian,13.0
Laplacian,19.0
Laplacian,19.0
Laplacian,18.0
Laplacian,18.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,19.0
Laplacian,18.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,19.0
Laplacian,18.0
Laplacian,19.0
Laplacian,13.0
Laplacian,13.0
Laplacian,13.0
Laplacian,13.0
Laplacian,19.0
Laplacian,17.0
Laplacian,13.0
Laplacian,13.0
Laplacian,19.0
Laplacian,13.0
Laplacian,13.0
Laplacian,13.0
Laplacian,18.0
Laplacian,17.0
Laplacian,17.0
Laplacian,19.0
Laplacian,18.0
Laplacian,13.0
Laplacian,17.0
Laplacian,17.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,18.0
Laplacian,19.0
Laplacian,18.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,18.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,13.0
Laplacian,17.0
Laplacian,13.0
Laplacian,17.0
Laplacian,18.0
Laplacian,13.0
Laplacian,17.0
Laplacian,19.0
Laplacian,18.0
Laplacian,17.0
Laplacian,18.0
Laplacian,17.0
Laplacian,18.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,18.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,18.0
Laplacian,17.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,18.0
Laplacian,19.0
Laplacian,19.0
Laplacian,18.0
Laplacian,13.0
Laplacian,13.0
Laplacian,17.0
Laplacian,19.0
Laplacian,19.0
Laplacian,17.0
Laplacian,19.0
Laplacian,17.0
Laplacian,13.0
Laplacian,19.0
Laplacian,17.0
Laplacian,19.0
Laplacian,17.0
Laplacian,19.0
Laplacian,19.0
Laplacian,18.0
Laplacian,13.0
Laplacian,18.0
Laplacian,19.0
Laplacian,18.0
Laplacian,19.0
Laplacian,13.0
Laplacian,19.0
Laplacian,18.0
Laplacian,18.0
Laplacian,13.0
Laplacian,17.0
Laplacian,19.0
Laplacian,18.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,13.0
Laplacian,18.0
Laplacian,13.0
Laplacian,13.0
Laplacian,19.0
Laplacian,13.0
Laplacian,19.0
Laplacian,17.0
Laplacian,13.0
Laplacian,18.0
Laplacian,13.0
Laplacian,18.0
Laplacian,13.0
Laplacian,13.0
Laplacian,19.0
Laplacian,18.0
Laplacian,17.0
Laplacian,17.0
Laplacian,13.0
Laplacian,13.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,13.0
Laplacian,19.0
Laplacian,18.0
Laplacian,18.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,18.0
Laplacian,17.0
Laplacian,13.0
Laplacian,13.0
Laplacian,18.0
Laplacian,13.0
Laplacian,18.0
Laplacian,18.0
Laplacian,17.0
Laplacian,13.0
Laplacian,18.0
Laplacian,19.0
Laplacian,18.0
Laplacian,19.0
Laplacian,18.0
Laplacian,17.0
Laplacian,17.0
Laplacian,17.0
Laplacian,18.0
Laplacian,19.0
Laplacian,13.0
Laplacian,18.0
Laplacian,13.0
Laplacian,13.0
Laplacian,13.0
Laplacian,13.0
Laplacian,13.0
Laplacian,13.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,13.0
Laplacian,19.0
Laplacian,18.0
Laplacian,13.0
Laplacian,13.0
Laplacian,18.0
Laplacian,13.0
Laplacian,18.0
Laplacian,19.0
Laplacian,18.0
Laplacian,19.0
Laplacian,18.0
Laplacian,19.0
Laplacian,18.0
Laplacian,18.0
Laplacian,18.0
Laplacian,17.0
Laplacian,18.0
Laplacian,17.0
Laplacian,18.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,13.0
Laplacian,18.0
Laplacian,13.0
Laplacian,18.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,19.0
Laplacian,18.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,19.0
Laplacian,17.0
Laplacian,17.0
Laplacian,18.0
Laplacian,13.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,19.0
Laplacian,19.0
Laplacian,13.0
Laplacian,17.0
Laplacian,13.0
Laplacian,19.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,17.0
Laplacian,18.0
Laplacian,17.0
Laplacian,13.0
Laplacian,18.0
Laplacian,13.0
Laplacian,19.0
Laplacian,19.0
Laplacian,19.0
Laplacian,19.0
Laplacian,18.0
Laplacian,18.0
Laplacian,13.0
Laplacian,19.0
Laplacian,19.0
Laplacian,18.0
Laplacian,13.0
Laplacian,19.0
Laplacian,19.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,17.0
Laplacian,19.0
Laplacian,17.0
Laplacian,13.0
Laplacian,18.0
Laplacian,17.0
Laplacian,18.0
Laplacian,19.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,13.0
Laplacian,18.0
Laplacian,17.0
Laplacian,19.0
Laplacian,19.0
Laplacian,18.0
Laplacian,18.0
Laplacian,19.0
Laplacian,19.0
Laplacian,18.0
Laplacian,17.0
Laplacian,17.0
Laplacian,13.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,13.0
Laplacian,18.0
Laplacian,19.0
Laplacian,19.0
Laplacian,19.0
Laplacian,13.0
Laplacian,17.0
Laplacian,18.0
Laplacian,19.0
Laplacian,18.0
Laplacian,13.0
Laplacian,18.0
Laplacian,17.0
Laplacian,13.0
Laplacian,13.0
Laplacian,13.0
Laplacian,19.0
Laplacian,19.0
Laplacian,13.0
Laplacian,18.0
Laplacian,17.0
Laplacian,17.0
Laplacian,18.0
Laplacian,13.0
Laplacian,18.0
Laplacian,17.0
Laplacian,18.0
Laplacian,19.0
Laplacian,19.0
Laplacian,19.0
Laplacian,18.0
Laplacian,13.0
Laplacian,19.0
Laplacian,13.0
Laplacian,19.0
Laplacian,13.0
Laplacian,18.0
Laplacian,13.0
Laplacian,18.0
Laplacian,17.0
Laplacian,17.0
Laplacian,18.0
Laplacian,13.0
Laplacian,18.0
Laplacian,13.0
Laplacian,18.0
Laplacian,18.0
Laplacian,18.0
Laplacian,13.0
Laplacian,18.0
Laplacian,17.0
Laplacian,19.0
Laplacian,19.0
Laplacian,18.0
Laplacian,18.0
Laplacian,17.0
Laplacian,19.0
Laplacian,18.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,17.0
Laplacian,18.0
Laplacian,18.0
Laplacian,13.0
Laplacian,17.0
Laplacian,17.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,13.0
Laplacian,13.0
Laplacian,18.0
Laplacian,18.0
Laplacian,18.0
Laplacian,17.0
Laplacian,17.0
Laplacian,13.0
Laplacian,19.0
Laplacian,18.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,18.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,13.0
Laplacian,18.0
Laplacian,13.0
Laplacian,17.0
Laplacian,13.0
Laplacian,18.0
Laplacian,18.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,13.0
Laplacian,19.0
Laplacian,13.0
Laplacian,18.0
Laplacian,18.0
Laplacian,18.0
Laplacian,18.0
Laplacian,19.0
Laplacian,18.0
Laplacian,18.0
Laplacian,18.0
Laplacian,18.0
Laplacian,17.0
Laplacian,13.0
Laplacian,17.0
Laplacian,19.0
Laplacian,19.0
Laplacian,19.0
Laplacian,19.0
Laplacian,19.0
Laplacian,17.0
Laplacian,18.0
Laplacian,18.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,19.0
Laplacian,17.0
Laplacian,13.0
Laplacian,13.0
Laplacian,19.0
Laplacian,17.0
Laplacian,13.0
Laplacian,19.0
Laplacian,18.0
Laplacian,13.0
Laplacian,19.0
Laplacian,17.0
Laplacian,19.0
Laplacian,19.0
Laplacian,17.0
Laplacian,13.0
Laplacian,17.0
Laplacian,19.0
Laplacian,19.0
Laplacian,18.0
Laplacian,17.0
Laplacian,18.0
Laplacian,13.0
Laplacian,17.0
Laplacian,18.0
Laplacian,18.0
Laplacian,13.0
Laplacian,17.0
Laplacian,18.0
Laplacian,17.0
Laplacian,13.0
Laplacian,19.0
Laplacian,17.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,17.0
Laplacian,19.0
Laplacian,17.0
Laplacian,13.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,19.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,18.0
Laplacian,17.0
Laplacian,13.0
Laplacian,19.0
Laplacian,13.0
Laplacian,13.0
Laplacian,13.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,13.0
Laplacian,13.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,19.0
Laplacian,18.0
Laplacian,18.0
Laplacian,13.0
Laplacian,13.0
Laplacian,19.0
Laplacian,13.0
Laplacian,19.0
Laplacian,19.0
Laplacian,19.0
Laplacian,17.0
Laplacian,18.0
Laplacian,13.0
Laplacian,17.0
Laplacian,17.0
Laplacian,18.0
Laplacian,17.0
Laplacian,19.0
Laplacian,18.0
Laplacian,19.0
Laplacian,13.0
Laplacian,19.0
Laplacian,18.0
Laplacian,19.0
Laplacian,13.0
Laplacian,17.0
Laplacian,13.0
Laplacian,18.0
Laplacian,18.0
Laplacian,13.0
Laplacian,13.0
Laplacian,18.0
Laplacian,17.0
Laplacian,19.0
Laplacian,13.0
Laplacian,17.0
Laplacian,13.0
Laplacian,19.0
Laplacian,19.0
Laplacian,18.0
Laplacian,17.0
Laplacian,18.0
Laplacian,19.0
Laplacian,19.0
Laplacian,13.0
Laplacian,17.0
Laplacian,18.0
Laplacian,18.0
Laplacian,18.0
Laplacian,17.0
Laplacian,19.0
Laplacian,17.0
Laplacian,18.0
Laplacian,13.0
Laplacian,13.0
Laplacian,18.0
Laplacian,18.0
Laplacian,17.0
Laplacian,18.0
Laplacian,13.0
Laplacian,13.0
Laplacian,13.0
Laplacian,13.0
Laplacian,19.0
Laplacian,13.0
Laplacian,17.0
Laplacian,18.0
Laplacian,19.0
Laplacian,19.0
Laplacian,19.0
Laplacian,19.0
Laplacian,13.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,18.0
Laplacian,17.0
Laplacian,19.0
Laplacian,19.0
Laplacian,18.0
Laplacian,13.0
Laplacian,17.0
Laplacian,13.0
Laplacian,18.0
Laplacian,18.0
Laplacian,19.0
Laplacian,18.0
Laplacian,18.0
Laplacian,17.0
Laplacian,13.0
Laplacian,13.0
Laplacian,13.0
Laplacian,17.0
Laplacian,18.0
Laplacian,19.0
Laplacian,17.0
Laplacian,18.0
Laplacian,13.0
Laplacian,18.0
Laplacian,19.0
Laplacian,13.0
Laplacian,17.0
Laplacian,17.0
